level,ourName,euclideaDescription
Alpha 01,01 T1 line,Tutorial level for the Line tool.
Alpha 02,02 T2 circle,Tutorial level for the Circle tool.
Alpha 03,03 T3 point,Tutorial level for the Point tool.
Alpha 04,04 TIntersect,Tutorial level for the Intersection tool.
Alpha 05,05 TEquilateral,Tutorial level multiple tools. Construct an equilateral triangle.
Alpha 06,06 Angle60,Construct an angle of $60^\circ$ with given side.
Alpha 07,07 PerpBisector,Construct the perpendicular bisector of the segment.
Alpha 08,08 TPerpBisector,Tutorial level for the Perpendicular bisector tool.
Alpha 09,09 Midpoint,Construct the midpoint of the segment defined by two points.
Alpha 10,10 CircleInSquare,Inscribe a circle in the square.
Alpha 11,11 RhombusInRect,Inscribe a rhombus in the rectangle so that they share a diagonal.
Alpha 12,12 CircleCenter,Construct the center of the circle
Alpha 13,13 SquareInCircle,Inscribe a square in the circle. One vertex of the square is given.
Beta 01,01 BisectAngle,Construct the line that bisects the given angle.
Beta 02,02 TBisectAngle,Tutorial level for the Perpendicular bisector tool.
Beta 03,03 Incenter,Construct the point where the angle bisectors of the triangle are intersected.
Beta 04,04 Angle30,Construct an angle of $30^\circ$ with given side.
Beta 05,05 DoubleAngle,Construct an angle equal to the given one so that they share one side.
Beta 06,06 CutRectangle,Construct a line through the given point that cuts the rectangle into two parts of equal area.
Beta 07,07 DropPerp,Drop a perpendicular from the point to the line.
Beta 08,08 ErectPerp,Erect a perpendicular from the point on the line.
Beta 09,09 TDropPerp,Tutorial level for the Perpendicular tool.
Beta 10,10 Tangent1,Construct a tangent to the circle at the given point.
Beta 11,11 TangentL,Construct a circle with the given center that is tangent to the given line.
Beta 12,12 CircleRhombus,Inscribe  circle in the rhombus.
Gamma 01,01 ChordMidpoint,Construct a chord whose midpoint is given.
Gamma 02,02 ATrByOrthocenter,Construct a segment connecting the sides of the angle to get triangle whose orthocenter is in the given point.
Gamma 03,03 AtrByCircumcenter,Construct a segment connecting the sides of the angle to get triangle whose perpendicular bisectors are intersected in the given point.
Gamma 04,04 AEqualSegments1,"Given an angle ABC and point M inside it, find points D on BA and E on BC and construct segments DM and ME such that BD = DM = ME."
Gamma 05,05 CircleTangentPL,Construct a circle through the point A that is tangent to the given line at the point B.
Gamma 06,06 TrapezoidCut,Construct a line passing through the midpoints of the trapezoid bases.
Gamma 07,07 Angle45,Construct an angle of $45^\circ$ with the given side.
Gamma 08,08 Lozenge,Construct a rhombus with the given side and an angle of $45^\circ$ in a vertex.
Gamma 09,09 CentroidOfQuadrilateral,Construct the midpoint of the segment that connects the midpoints of the diagonals of the quadrilateral.
