level, suc, branch, estimate
01 T1 line,True,1.00 - 1.00 - 1.00,6 - 10 - 15
02 T2 circle,True,1.00,4
03 T3 point,True,1.00 - 1.00 - 1.00,6 - 10 - 15
04 TIntersect,True,1.00,6
05 TEquilateral,True,11.00 - 22.00 - 37.00 - 0.05 - 1.00,21 - 36 - 55 - 109 - 136
06 Angle60,True,5.00 - 21.00 - 48.00 - 67.50 - 0.01,10 - 36 - 78 - 105 - 176
07 PerpBisector,True,11.00 - 22.00 - 37.00 - 70.00 - 0.03,21 - 36 - 55 - 105 - 175
08 TPerpBisector,True,1.00,6
09 Midpoint,True,4.00 - 14.00 - 0.03,13 - 27 - 66
10 CircleInSquare,False,128.00 - 166.00 - 209.00 - 282.47,172 - 216 - 265 - 359
11 RhombusInRect,False,128.00 - 165.00 - 232.09 - 0.00,172 - 216 - 304 - 433
12 CircleCenter,True,3.00 - 27.00 - 60.00 - 105.00 - 154.98 - 0.00,4 - 46 - 99 - 172 - 250 - 358
13 SquareInCircle,False,15.00 - 29.00 - 49.00 - 93.00 - 155.52,27 - 46 - 70 - 133 - 221

