level, suc, branch, estimate
01 BisectAngle,True,19.00 - 49.00 - 94.00 - 0.03,27 - 70 - 133 - 216
02 TBisectAngle,True,1.00,12
03 Incenter,False,180.00 - 371.52,195 - 389
04 Angle30,True,11.00 - 61.00 - 174.00 - 267.50 - 0.00,17 - 74 - 195 - 287 - 644
05 DoubleAngle,False,34.00 - 114.00 - 269.00 - 389.00 - 752.71,39 - 125 - 287 - 404 - 780
06 CutRectangle,False,520.00 - 701.00 - 1032.90,549 - 725 - 1050
07 DropPerp,True,11.00 - 61.00 - 174.00 - 267.00 - 0.03,17 - 74 - 195 - 287 - 578
08 ErectPerp,True,11.00 - 1.00,17 - 74
09 TDropPerp,True,1.00,4
10 Tangent1,True,27.00 - 0.08,48 - 128
11 TangentL,True,13.00 - 59.50 - 0.00,21 - 75 - 263
12 CircleRhombus,False,416.00 - 569.00 - 755.00 - 978.00 - 1410.88,468 - 630 - 825 - 1056 - 1515
