level, suc, branch, estimate
01 Parallel,True,13.00 - 0.20,21 - 79
02 TParallel,True,1.00,4
03 Parallelogram3V,True,1.00 - 1.00 - 1.00 - 1.00,57 - 106 - 175 - 267
04 LineAlongPoints,True,21.00 - 0.11,57 - 106
05 LineBetweenPoints,False,21.00 - 54.00 - 129.00,57 - 106 - 207
06 Hash,False,166.00 - 340.00 - 612.00,175 - 385 - 711
07 ShiftAngle,True,1.00 - 1.00,106 - 175
08 EquidistantParallel,False,24.00 - 127.00 - 283.00 - 535.00 - 909.00,25 - 175 - 385 - 711 - 1177
09 SquareAboutCircle,False,39.00 - 121.00 - 279.00 - 399.00 - 551.00 - 733.00 - 0.00,57 - 175 - 385 - 532 - 711 - 925 - 1773
10 SquareInSquare,False,592.00 - 782.00 - 1008.00 - 1270.00 - 1575.00 - 1925.00,711 - 925 - 1177 - 1470 - 1807 - 2191
11 CircleInOutSquare,False,448.00 - 607.00 - 799.00 - 1024.00,532 - 711 - 925 - 1177
12 HexagonBySide,False,33.00 - 70.00 - 125.00 - 284.00 - 542.00 - 724.00 - 944.00,57 - 106 - 175 - 385 - 711 - 925 - 1177
