level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
01 CDoubleSeq,1.00,1000.0,1.00 - 1.00 - 1.00 - 1.00,7 - 15 - 26 - 40,0.26,0.24 / 0.28,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2000},1.00,22.00
02 Angle60Drop,0.98,958.0,2.12 - 1.53 - 0.99 - 0.94 - 0.75 - 1.15 - 0.73,90 - 150 - 231 - 336 - 468 - 630 - 825,0.25,0.18 / 3.41,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1571},1.17,390.00
03 EquilateralAboutCircle,1.00,1250.0,1.00 - 1.13 - 1.00 - 1.00 - 1.00,48 - 90 - 150 - 231 - 336,0.32,0.30 / 0.34,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2500},1.03,171.00
04 EquilateralInCircle,1.00,1283.5,1.00 - 1.06 - 1.00 - 1.00 - 1.00 - 1.00,48 - 90 - 150 - 231 - 336 - 468,0.32,0.19 / 0.41,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2564},1.01,220.50
05 CutTwoRectangles,0.98,1935.5,2.88 - 2.44 - 1.60 - 1.21 - 1.09 - 1.11 - 0.75 - 0.76,5250 - 6006 - 6831 - 7728 - 8700 - 9750 - 10881 - 12096,0.47,0.18 / 27.41,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2449},1.48,8405.25
06 Sqrt2,1.00,1002.0,1.00 - 1.07 - 1.20 - 1.00 - 1.00 - 1.00,48 - 90 - 150 - 231 - 336 - 468,0.26,0.24 / 0.51,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1996},1.05,220.50
07 Sqrt3,1.00,1002.5,1.00 - 1.15 - 1.02 - 1.00 - 1.00 - 2.00 - 1.50,48 - 90 - 150 - 231 - 336 - 468 - 630,0.26,0.25 / 0.56,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2001},1.24,279.00
08 Angle15,0.97,849.5,1.00 - 1.01 - 0.99 - 0.97 - 1.00 - 0.67 - 1.00,48 - 90 - 150 - 231 - 336 - 468 - 630,0.23,0.19 / 0.51,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1643},0.95,279.00
09 SquareByOppMidpoints,0.95,1493.5,1.00 - 1.00 - 1.00 - 1.00 - 0.96 - 0.99 - 1.50 - 1.33 - 0.50,21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825,0.38,0.25 / 0.76,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2838},1.03,311.00
10 SquareByAdjMidpoints,0.93,1721.0,1.00 - 1.00 - 1.00 - 0.97 - 0.98 - 0.99 - 1.00 - 1.00 - 1.00 - 1.00 - 0.67 - 1.00 - 1.00 - 1.00,21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056 - 1326 - 1638 - 1995 - 2400,0.45,0.27 / 0.92,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 3250},0.97,801.00
