level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
01 PtSymmetry,0.47,3609.5,1.90 - 1.17 - 1.57 - 0.94 - 1.08 - 1.12 - 1.40,106 - 175 - 267 - 385 - 532 - 711 - 925,0.93,0.37 / 5.56,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1192},1.31,443.00
02 MirrorSeq,0.23,6562.0,1.72 - 1.15 - 1.15 - 1.11 - 1.04 - 0.88 - 1.21 - 1.73 - 1.97 - 2.02,267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625,1.75,0.19 / 241.03,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 618},1.40,1209.00
03 ShiftSegment,0.99,1006.5,1.16 - 1.15 - 1.01 - 1.00 - 0.60 - 2.00,385 - 532 - 711 - 925 - 1177 - 1470,0.25,0.24 / 0.83,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1984},1.15,866.67
04 GivenAngleBisector,0.96,2265.5,1.70 - 2.55 - 1.02 - 1.08 - 1.44 - 1.41 - 1.28 - 1.18 - 1.18,175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807,0.59,0.25 / 15.30,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1947},1.43,827.67
05 CircleByRadius,0.92,1130.5,1.11 - 1.05 - 1.05 - 1.08 - 1.87 - 2.15,106 - 175 - 267 - 385 - 532 - 711,0.30,0.06 / 2.03,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1850},1.39,362.67
06 TCircleByRadius,1.00,250.5,1.00,28,0.07,0.07 / 0.16,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 498},1.00,28.00
07 TranslateSegment,0.53,1172.5,1.00 - 1.01 - 1.03 - 1.21 - 1.27,134 - 230 - 363 - 539 - 764,0.31,0.08 / 2.71,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1035},1.10,406.00
08 TriangleBySides,0.96,1119.0,2.06 - 1.26 - 0.94 - 1.01 - 1.07 - 0.95,2834 - 3479 - 4215 - 5048 - 5984 - 7029,0.34,0.26 / 1.93,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1919},1.22,4764.83
09 ParallelogramBySP,0.88,4095.5,1.00 - 1.52 - 1.36 - 1.56 - 1.79 - 2.39 - 2.56,134 - 230 - 363 - 539 - 764 - 1044 - 1385,1.21,0.06 / 50.63,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2290},1.74,637.00
10 9PointCircle,1.00,1251.0,1.24 - 1.02 - 1.44 - 2.25 - 0.99,363 - 539 - 764 - 1044 - 1385,0.31,0.12 / 0.45,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2490},1.39,819.00
11 4SymmetricLines,0.95,855.5,1.91 - 0.97 - 0.99 - 1.11 - 0.92 - 0.89 - 0.84 - 1.00,539 - 764 - 1044 - 1385 - 1793 - 2274 - 2834 - 3479,0.24,0.16 / 3.88,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1434},1.08,1764.00
12 ParallelogramBy3Midpoints,0.77,14978.5,1.00 - 0.99 - 1.03 - 1.54 - 1.23 - 1.55 - 2.04 - 2.97 - 3.16 - 3.23,69 - 134 - 230 - 363 - 539 - 764 - 1044 - 1385 - 1793 - 2274,4.58,0.16 / 537.52,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2725},1.87,859.50
