level; accuracy; visists; branching factor; estimates; time; time minmax; usedmodels; connections
Alpha;0.42;;;;;;;
01 T1 line;0.40;44;0.70 - 0.71 - 0.80;6 - 10 - 15;4.61;0.75 / 60.21;{'01-11': 8, '01-06': 4, '01-13': 12};06, 11, 13
02 T2 circle;0.05;21;0.05 - 1.00;4 - 9;1.04;0.73 / 5.56;{'01-05': 2};05
03 T3 point;1.00;60;1.00 - 1.00 - 1.00;21 - 28 - 36;2.37;2.32 / 2.47;{'01-12': 31, '01-04': 15, '01-09': 14};04, 09, 12
04 TIntersect;1.00;40;1.00 - 1.00;45 - 55;1.59;1.53 / 1.65;{'01-09': 18, '01-12': 8, '01-03': 14};03, 09, 13
05 TEquilateral;0.50;2702;5.90 - 8.15 - 7.45 - 7.89 - 8.40 - 9.04;21 - 36 - 55 - 78 - 105 - 136;108.66;3.10 / 198.16;{'01-11': 8, '01-07': 10, '01-06': 17, '01-02': 14, '01-03': 1, '01-13': 2, '01-09': 1, '01-12': 1};02, 03, 06, 07, 09, 11, 12, 13
06 Angle60;0.55;4053;3.05 - 4.19 - 3.50 - 3.98 - 4.60 - 5.40;21 - 36 - 55 - 78 - 105 - 136;155.61;2.23 / 363.58;{'01-07': 3, '01-05': 24, '01-13': 3, '01-04': 6, '01-11': 3, '01-02': 7, '01-01': 1, '01-10': 1};01, 02, 04, 05, 06, 07, 09, 10, 11
07 PerpBisector;0.35;2948;5.35 - 6.80 - 7.55 - 7.74 - 9.18 - 10.25;21 - 36 - 55 - 78 - 105 - 136;118.66;5.42 / 201.43;{'01-13': 6, '01-05': 10, '01-02': 17, '01-06': 3, '01-10': 1, '01-04': 1, '01-09': 2, '01-11': 1, '01-01': 1};01, 02, 04, 05, 06, 09, 10, 11, 13
09 Midpoint;0.05;3037;8.40 - 11.35 - 12.11 - 13.12;13 - 27 - 46 - 70;123.96;62.16 / 156.53;{'01-12': 1, '01-13': 1, '01-10': 1, '01-02': 1};02, 10, 12, 13
11 RhombusInRect;0.25;1598;16.50 - 16.65 - 16.40 - 19.41 - 19.35 - 19.87;265 - 319 - 378 - 442 - 511 - 585;69.05;2.51 / 126.26;{'01-13': 6, '01-08': 6, '01-07': 1, '01-06': 4};06, 07, 08, 13
