level; accuracy; visists; branching factor; estimates; time; time min_max; used models; connections
01 BisectAngle;0.80;1015;2.60 - 3.50 - 3.35 - 3.07 - 2.75;70 - 99 - 133 - 172 - 216;17.83;0.66 / 51.28;{'Delta_as_whole/20200909_4M_images': 30, 'Epsilon_as_whole/20201008': 8, 'Zeta_as_whole/20201008': 5, 'Gamma_as_whole/new_degeneration_criteria': 7, 'Alpha_as_whole/20201008': 5};Alpha, Gamma, Delta, Epsilon, Zeta
02 TBisectAngle;0.55;22;0.60 - 0.50;55 - 96;0.39;0.32 / 0.70;{'Gamma_as_whole/new_degeneration_criteria': 12};Gamma
03 Incenter;0.00;3689;6.85 - 4.85 - 4.32 - 3.78;195 - 287 - 404 - 549;60.29;16.23 / 135.41;{};
04 Angle30;1.00;563;2.10 - 3.65 - 3.44 - 3.04 - 2.57 - 2.17;39 - 74 - 125 - 195 - 287 - 404;8.96;0.98 / 45.85;{'Zeta_as_whole/20201008': 11, 'Delta_as_whole/20200909_4M_images': 45, 'Gamma_as_whole/new_degeneration_criteria': 9, 'Alpha_as_whole/20201008': 5, 'Epsilon_as_whole/20201008': 14};Alpha, Gamma, Delta, Epsilon, Zeta
05 DoubleAngle;0.80;9108;3.30 - 3.32 - 2.65 - 2.61 - 2.49 - 2.40 - 2.51;125 - 195 - 287 - 404 - 549 - 725 - 935;144.11;1.30 / 308.00;{'Zeta_as_whole/20201008': 20, 'Delta_as_whole/20200909_4M_images': 8, 'Alpha_as_whole/20201008': 18, 'Epsilon_as_whole/20201008': 1, 'Gamma_as_whole/new_degeneration_criteria': 9};Alpha, Gamma, Delta, Epsilon, Zeta
06 CutRectangle;1.00;737;6.40 - 4.41 - 3.55 - 3.59 - 3.25;935 - 1182 - 1469 - 1799 - 2175;12.03;0.95 / 65.97;{'Zeta_as_whole/20201008': 6, 'Gamma_as_whole/new_degeneration_criteria': 21, 'Epsilon_as_whole/20201008': 13, 'Delta_as_whole/20200909_4M_images': 38, 'Alpha_as_whole/20201008': 7};Alpha, Gamma, Delta, Epsilon, Zeta
07 DropPerp;0.90;1189;3.20 - 4.36 - 2.57 - 3.36 - 3.22 - 2.95;74 - 125 - 195 - 287 - 404 - 549;19.06;0.94 / 98.41;{'Alpha_as_whole/20201008': 10, 'Zeta_as_whole/20201008': 34, 'Epsilon_as_whole/20201008': 3, 'Delta_as_whole/20200909_4M_images': 13};Alpha, Delta, Epsilon, Zeta
08 ErectPerp;0.05;63;0.25 - 1.40 - 1.57 - 1.91 - 2.50;39 - 74 - 125 - 195 - 287;0.99;0.30 / 4.29;{'Delta_as_whole/20200909_4M_images': 1, 'Zeta_as_whole/20201008': 2, 'Gamma_as_whole/new_degeneration_criteria': 1};Gamma, Delta Zeta
09 TDropPerp;0.00;20;;;0.31;0.29 / 0.33;{};
10 Tangent1;1.00;251;4.50 - 3.41 - 3.59;48 - 90 - 150;4.17;1.35 / 10.02;{'Epsilon_as_whole/20201008': 23, 'Gamma_as_whole/new_degeneration_criteria': 9, 'Alpha_as_whole/20201008': 7, 'Zeta_as_whole/20201008': 6, 'Delta_as_whole/20200909_4M_images': 6};Alpha, Gamma, Delta, Epsilon, Zeta
11 TangentL;0.65;33;0.65 - 1.00;90 - 150;0.54;0.30 / 0.70;{'Gamma_as_whole/new_degeneration_criteria': 10, 'Epsilon_as_whole/20201008': 13, 'Zeta_as_whole/20201008': 1, 'Alpha_as_whole/20201008': 2};Alpha, Gamma, Epsilon, Zeta
12 CircleRhombus;0.05;21800;6.75 - 5.65 - 6.20 - 5.69 - 5.51 - 5.29 - 5.35;630 - 825 - 1056 - 1326 - 1638 - 1995 - 2400;359.28;157.91 / 462.90;{'Alpha_as_whole/20201008': 3, 'Gamma_as_whole/new_degeneration_criteria': 1, 'Zeta_as_whole/20201008': 2};Alpha, Gamma, Zeta
