level; accuracy; visists; branching factor; estimates; time; time min_max; used models; connections
01 CDoubleSeq;0.00;804;1.15 - 1.87 - 2.19 - 1.78 - 1.33 - 1.06 - 1.18;7 - 15 - 26 - 40 - 57 - 77 - 100;13.41;0.32 / 48.59;{};
02 Angle60Drop;0.00;2972;2.50 - 5.20 - 4.61 - 3.89 - 3.77 - 3.58 - 3.37;90 - 150 - 231 - 336 - 468 - 630 - 825;46.97;32.21 / 66.14;{};
03 EquilateralAboutCircle;0.15;3294;2.90 - 1.96 - 2.88 - 2.67 - 2.30 - 2.48 - 2.80 - 2.81 - 2.87 - 2.89;48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056 - 1326;51.30;5.90 / 77.89;{'Beta_as_whole/20201008': 7, 'Zeta_as_whole/20201008': 4, 'Gamma_as_whole/new_degeneration_criteria': 5, 'Alpha_as_whole/20201008': 1, 'Epsilon_as_whole/20201008': 5};Alpha, Beta, Gamma, Epsilon, Zeta
04 EquilateralInCircle;0.00;1559;0.50 - 4.29 - 4.43 - 5.43 - 3.75 - 3.54 - 2.96 - 2.30 - 1.86 - 1.84 - 2.14 - 2.61;48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056 - 1326 - 1638 - 1995;24.11;0.29 / 90.44;{};
05 CutTwoRectangles;0.75;1105;8.85 - 4.67 - 3.95 - 3.40 - 2.87 - 2.94 - 3.12 - 3.64;5250 - 6006 - 6831 - 7728 - 8700 - 9750 - 10881 - 12096;17.28;1.48 / 54.12;{'Gamma_as_whole/new_degeneration_criteria': 13, 'Beta_as_whole/20201008': 64, 'Epsilon_as_whole/20201008': 4};Beta, Gamma, Epsilon
06 Sqrt2;0.00;3414;5.20 - 5.09 - 5.00 - 3.92 - 3.20 - 2.80;48 - 90 - 150 - 231 - 336 - 468;53.46;37.34 / 70.81;{};
07 Sqrt3;0.00;4088;5.50 - 4.95 - 4.97 - 3.58 - 2.86 - 2.58 - 2.34;48 - 90 - 150 - 231 - 336 - 468 - 630;63.80;35.25 / 85.27;{};
08 Angle15;0.60;1444;2.35 - 3.35 - 4.41 - 4.03 - 3.42 - 3.13 - 3.24;48 - 90 - 150 - 231 - 336 - 468 - 630;22.74;1.31 / 63.53;{'Zeta_as_whole/20201008': 8, 'Beta_as_whole/20201008': 47, 'Gamma_as_whole/new_degeneration_criteria': 7};Beta, Gamma, Zeta
09 SquareByOppMidpoints;0.40;1697;2.10 - 1.34 - 1.76 - 1.89 - 2.21 - 2.77 - 3.35 - 3.40 - 3.60;21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825;26.79;0.62 / 60.43;{'Epsilon_as_whole/20201008': 24, 'Zeta_as_whole/20201008': 16, 'Alpha_as_whole/20201008': 8, 'Beta_as_whole/20201008': 14, 'Gamma_as_whole/new_degeneration_criteria': 6};Alpha, Beta, Gamma, Epsilon, Zeta
10 SquareByAdjMidpoints;0.00;2699;2.35 - 1.90 - 5.05 - 4.65 - 4.65 - 4.65 - 4.38 - 3.52 - 3.36 - 3.05 - 3.03 - 3.26 - 3.67 - 4.23;21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056 - 1326 - 1638 - 1995 - 2400;42.84;20.94 / 79.01;{};
