level; accuracy; visists; branching factor; estimates; time; time min_max; used models; connections
01 Parallel;0.10;164;2.00 - 3.08 - 1.69;90 - 150 - 231;3.37;0.30 / 16.12;{'Beta_as_whole/20201008': 3, 'Zeta_as_whole/20201008': 2, 'Gamma_as_whole/new_degeneration_criteria': 1};Beta, Gamma, Zeta
02 TParallel;0.00;20;;;0.32;0.30 / 0.36;{};
03 Parallelogram3V;0.35;718;1.00 - 1.85 - 5.16 - 4.63 - 4.04;57 - 106 - 175 - 267 - 385;12.09;1.69 / 41.96;{'Zeta_as_whole/20201008': 9, 'Delta_as_whole/20200909_4M_images': 2, 'Gamma_as_whole/new_degeneration_criteria': 4, 'Alpha_as_whole/20201008': 15, 'Beta_as_whole/20201008': 4};Alpha, Beta, Gamma, Delta, Zeta
04 LineAlongPoints;0.40;616;5.85 - 4.76 - 5.31;57 - 106 - 175;10.61;2.66 / 20.75;{'Beta_as_whole/20201008': 4, 'Gamma_as_whole/new_degeneration_criteria': 5, 'Alpha_as_whole/20201008': 6, 'Delta_as_whole/20200909_4M_images': 5, 'Zeta_as_whole/20201008': 3};Alpha, Beta, Gamma, Delta, Zeta
05 LineBetweenPoints;0.25;2033;6.35 - 4.85 - 4.86 - 4.43 - 4.37;57 - 106 - 175 - 267 - 385;33.96;13.16 / 48.83;{'Zeta_as_whole/20201008': 4, 'Beta_as_whole/20201008': 6, 'Delta_as_whole/20200909_4M_images': 9, 'Alpha_as_whole/20201008': 4, 'Gamma_as_whole/new_degeneration_criteria': 1};Alpha, Beta, Gamma, Delta, Zeta
06 Hash;0.00;2571;4.60 - 3.90 - 3.09 - 3.22 - 3.57;532 - 711 - 925 - 1177 - 1470;42.29;0.30 / 67.71;{};
07 ShiftAngle;0.00;597;5.70 - 4.06 - 2.66;267 - 385 - 532;9.95;3.49 / 21.40;{};
08 EquidistantParallel;0.00;20;;;0.32;0.29 / 0.37;{};
09 SquareAboutCircle;0.00;567;0.25 - 3.40 - 4.20 - 4.40 - 4.00 - 5.40 - 5.80 - 4.11 - 4.33 - 4.63 - 5.01;267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625 - 3112;9.32;0.30 / 42.19;{};
10 SquareInSquare;0.00;2087;6.45 - 7.70 - 5.86 - 6.45 - 6.35 - 5.75 - 5.76 - 5.10 - 4.58 - 4.72 - 5.32;711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625 - 3112 - 3655 - 4257 - 4921;34.72;20.94 / 58.09;{};
11 CircleInOutSquare;0.00;2094;5.10 - 4.30 - 5.41 - 3.93 - 4.48 - 5.09;532 - 711 - 925 - 1177 - 1470 - 1807;34.27;23.44 / 50.19;{};
12 HexagonBySide;0.00;2589;4.20 - 2.35 - 3.09 - 2.40 - 3.00 - 2.65 - 2.86 - 2.55 - 2.28 - 2.55 - 2.85 - 3.52 - 4.68;57 - 106 - 175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625;41.62;23.25 / 89.00;{};
