level; accuracy; visists; branching factor; estimates; time; time min_max; used models; connections
01 PtSymmetry;0.00;2018;8.60 - 7.00 - 5.80 - 4.21 - 4.40 - 5.00 - 5.26;106 - 175 - 267 - 385 - 532 - 711 - 925;34.18;25.54 / 51.69;{};
02 MirrorSeq;0.00;2666;6.70 - 6.00 - 4.40 - 4.95 - 4.58 - 4.79 - 3.66 - 3.40 - 3.74 - 4.08;267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625;43.19;28.68 / 92.01;{};
03 ShiftSegment;0.00;3281;8.00 - 4.95 - 4.39 - 3.65 - 3.02 - 3.06;385 - 532 - 711 - 925 - 1177 - 1470;52.18;35.61 / 76.68;{};
04 GivenAngleBisector;0.00;3668;5.40 - 4.60 - 4.78 - 3.77 - 3.22 - 2.57 - 2.48 - 2.56 - 2.96;175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807;57.93;25.76 / 85.53;{};
05 CircleByRadius;0.05;3030;7.45 - 4.39 - 3.41 - 2.80 - 3.12 - 3.49;106 - 175 - 267 - 385 - 532 - 711;48.32;33.48 / 88.07;{'Gamma_as_whole/new_degeneration_criteria': 2, 'Epsilon_as_whole/20201008': 1, 'Delta_as_whole/20200909_4M_images': 2, 'Beta_as_whole/20201008': 1};Beta, Gamma, Delta, Epsilon
06 TCircleByRadius;0.00;20;;;0.34;0.33 / 0.36;{};
07 TranslateSegment;0.00;2154;8.65 - 6.04 - 5.73 - 4.89 - 4.70;134 - 230 - 363 - 539 - 764;35.19;24.25 / 55.51;{};
08 TriangleBySides;0.00;2679;10.55 - 8.40 - 6.34 - 4.69 - 4.01 - 3.71;2834 - 3479 - 4215 - 5048 - 5984 - 7029;43.04;28.99 / 64.54;{};
09 ParallelogramBySP;0.00;2387;6.80 - 6.30 - 5.29 - 4.22 - 4.14 - 4.23 - 4.37;134 - 230 - 363 - 539 - 764 - 1044 - 1385;39.00;30.51 / 61.24;{};
10 9PointCircle;0.00;2040;5.20 - 3.52 - 4.40 - 4.55 - 4.55 - 4.48 - 4.10 - 4.68 - 4.92 - 5.36;363 - 539 - 764 - 1044 - 1385 - 1793 - 2274 - 2834 - 3479 - 4215;33.36;24.60 / 53.67;{};
11 4SymmetricLines;0.00;4018;2.00 - 4.00 - 3.65 - 2.71 - 2.48 - 2.20 - 2.09 - 2.35;539 - 764 - 1044 - 1385 - 1793 - 2274 - 2834 - 3479;62.80;0.30 / 92.00;{};
12 ParallelogramBy3Midpoints;0.00;1715;6.45 - 4.80 - 3.90 - 5.00 - 4.50 - 5.14 - 5.17 - 5.28 - 5.99 - 6.46;69 - 134 - 230 - 363 - 539 - 764 - 1044 - 1385 - 1793 - 2274;28.28;19.99 / 44.19;{};
