level,NoPointHints,NoPoint,PreviousHints,Previous
01 T1 line,0.956,0.95,0.889,0.86
02 T2 circle,1,1,1,0.93
03 T3 point,0.99,0.98,1,0.84
04 TIntersect,0.97,0.968,0.941,0.908
05 TEquilateral,0.959,0.931,0.923,0.822
06 Angle60,0.982,0.992,0.962,0.774
08 TPerpBisector,0.98,0.976,0.94,0.98
09 Midpoint,0.986,0.986,0.84,0.512
10 CircleInSquare,0.736,0.768,0.386,0.256
11 RhombusInRect,0.958,0.951,0.828,0.75
12 CircleCenter,1,0.916,0.134,0.004
13 SquareInCircle,0.996,1,0.918,0.894
Accuracy,0.959,0.951,0.813,0.71
