level, suc, branch, estimate
01 PtSymmetry,False,63.00 - 190.00 - 411.00,106 - 267 - 532
02 MirrorSeq,False,79.00 - 212.00 - 439.00 - 787.00 - 1031.00 - 1317.00,106 - 267 - 532 - 925 - 1177 - 1470
03 ShiftSegment,False,63.00 - 190.00 - 411.00 - 753.00,106 - 267 - 532 - 925
04 GivenAngleBisector,False,33.00 - 125.00 - 300.00 - 582.00 - 788.00 - 1035.00,57 - 175 - 385 - 711 - 925 - 1177
05 CircleByRadius,False,63.00 - 190.00 - 411.00 - 753.00,106 - 267 - 532 - 925
06 TCircleByRadius,True,1.00,28
07 TranslateSegment,False,1.00 - 185.00 - 467.00,134 - 230 - 539
08 TriangleBySides,False,909.00 - 1614.00 - 2605.00,1044 - 1793 - 2834
09 ParallelogramBySP,False,1.00 - 185.00 - 467.00 - 939.00,134 - 230 - 539 - 1044
10 9PointCircle,False,324.00 - 507.00 - 743.00 - 1038.00 - 1769.00 - 2788.00 - 4141.00 - 4997.00,363 - 539 - 764 - 1044 - 1793 - 2834 - 4215 - 5048
11 4SymmetricLines,False,132.00 - 502.00 - 1280.00 - 2628.00 - 3952.00 - 5657.00,134 - 539 - 1385 - 2834 - 4215 - 5984
12 ParallelogramBy3Midpoints,False,30.00 - 90.00 - 185.00 - 321.00 - 699.00,69 - 134 - 230 - 363 - 764
